dname1,dname2,date,value,unit
合計,雞,76,174400000,隻
合計,雞,77,193018000,隻
合計,雞,78,215940000,隻
合計,雞,79,226556000,隻
合計,雞,80,233971000,隻
合計,雞,81,257666000,隻
合計,雞,82,288243000,隻
合計,雞,83,301914000,隻
合計,雞,84,319820000,隻
合計,雞,85,345509000,隻
合計,雞,86,389966000,隻
合計,雞,87,389524000,隻
合計,雞,88,385563432,隻
合計,雞,89,389769750,隻
合計,雞,90,376195757,隻
合計,雞,91,377521882,隻
合計,雞,92,371419530,隻
合計,雞,93,377960192,隻
合計,雞,94,337631888.1,隻
合計,雞,95,346153446,隻
合計,雞,96,333503526,隻
合計,雞,97,322181658,隻
合計,雞,98,329440465,隻
合計,雞,99,334760980,隻
合計,雞,100,350119995,隻
合計,雞,101,324520802,隻
合計,雞,102,307486813,隻
合計,雞,103,326297931,隻
合計,鴨,76,39745000,隻
合計,鴨,77,37717000,隻
合計,鴨,78,39952000,隻
合計,鴨,79,39900000,隻
合計,鴨,80,36295000,隻
合計,鴨,81,40558000,隻
合計,鴨,82,45483000,隻
合計,鴨,83,40886000,隻
合計,鴨,84,42580000,隻
合計,鴨,85,41759000,隻
合計,鴨,86,41156000,隻
合計,鴨,87,35719000,隻
合計,鴨,88,35207839,隻
合計,鴨,89,34098861,隻
合計,鴨,90,32141882,隻
合計,鴨,91,31012339,隻
合計,鴨,92,31040199,隻
合計,鴨,93,32254809,隻
合計,鴨,94,33596451.26,隻
合計,鴨,95,37740170,隻
合計,鴨,96,36861937,隻
合計,鴨,97,31729634,隻
合計,鴨,98,29250161,隻
合計,鴨,99,30301415,隻
合計,鴨,100,30514644,隻
合計,鴨,101,28952234,隻
合計,鴨,102,33954606,隻
合計,鴨,103,38332453,隻
合計,鵝,76,3923000,隻
合計,鵝,77,3942000,隻
合計,鵝,78,4140000,隻
合計,鵝,79,4777000,隻
合計,鵝,80,4628000,隻
合計,鵝,81,5683000,隻
合計,鵝,82,6397000,隻
合計,鵝,83,8521000,隻
合計,鵝,84,7744000,隻
合計,鵝,85,7078000,隻
合計,鵝,86,7503000,隻
合計,鵝,87,7955000,隻
合計,鵝,88,7463823,隻
合計,鵝,89,6503141,隻
合計,鵝,90,6329846,隻
合計,鵝,91,6178197,隻
合計,鵝,92,6401666,隻
合計,鵝,93,6540444,隻
合計,鵝,94,6449319.661,隻
合計,鵝,95,6723327,隻
合計,鵝,96,5873235,隻
合計,鵝,97,5149328,隻
合計,鵝,98,4593323,隻
合計,鵝,99,4699666,隻
合計,鵝,100,5130200,隻
合計,鵝,101,4928574,隻
合計,鵝,102,5159710,隻
合計,鵝,103,5549135,隻
合計,火雞,76,1111000,隻
合計,火雞,77,920000,隻
合計,火雞,78,899000,隻
合計,火雞,79,758000,隻
合計,火雞,80,636000,隻
合計,火雞,81,543000,隻
合計,火雞,82,521000,隻
合計,火雞,83,458000,隻
合計,火雞,84,415000,隻
合計,火雞,85,398000,隻
合計,火雞,86,429000,隻
合計,火雞,87,432000,隻
合計,火雞,88,488406,隻
合計,火雞,89,499738,隻
合計,火雞,90,457788,隻
合計,火雞,91,387047,隻
合計,火雞,92,364015,隻
合計,火雞,93,385690,隻
合計,火雞,94,375937.8,隻
合計,火雞,95,334654,隻
合計,火雞,96,301098,隻
合計,火雞,97,279640,隻
合計,火雞,98,229629,隻
合計,火雞,99,216029,隻
合計,火雞,100,248841,隻
合計,火雞,101,236504,隻
合計,火雞,102,220501,隻
合計,火雞,103,211906,隻
合計,雞,104,321139463,隻
