年度,縣市,風力件數,風力躉購容量(KW),風力本年累計購電度數(千度),太陽光電件數,太陽光電躉購容量(KW),太陽光電本年累計購電度數(千度),水力件數,水力躉購容量(KW),水力本年累計購電度數(千度),合計件數,躉購容量(KW),本年累計購電度數(千度)
107,基隆市,0,0.0,0,5,470,151253,0,0,0,5,470.0,151253
107,台北市,0,0.0,0,108,10902,10927586,0,0,0,108,10902.0,10927586
107,新北市,0,0.0,0,266,20231,16992130,1,70000,214632842,267,90231.0,231624972
107,桃園市,5,48356.0,128656547,682,123008,132108345,2,130000,354417447,689,301364.0,615182339
107,新竹市,0,0.0,0,124,11453,11699468,0,0,0,124,11453.0,11699468
107,新竹縣,2,11500.0,24731588,341,53942,51161875,0,0,0,343,65442.0,75893463
107,苗栗縣,10,157100.0,344283314,592,53456,53382036,0,0,0,602,210556.0,397665350
107,台中市,9,89704.0,198470890,1244,128440,143459582,1,110,402911,1254,218254.0,342333383
107,彰化縣,4,96609.0,218053210,1963,306192,359066863,1,195,797591,1968,402996.0,577917664
107,南投縣,0,0.0,0,572,44100,47633301,1,16704,55948834,573,60804.0,103582135
107,雲林縣,5,2332.0,4577210,2687,395860,489640370,1,200,640936,2693,398392.0,494858516
107,嘉義市,0,0.0,0,288,12003,13695196,0,0,0,288,12003.0,13695196
107,嘉義縣,0,0.0,0,1672,187445,217281967,2,50130,184762634,1674,237575.0,402044601
107,台南市,0,0.0,0,3931,398163,454231074,3,22466,79846068,3934,420629.0,534077142
107,高雄市,0,0.0,0,3195,290709,324160184,1,788,3640016,3196,291497.0,327800200
107,屏東縣,0,0.0,0,1767,228583,242074771,2,185,361616,1769,228768.0,242436387
107,宜蘭縣,0,0.0,0,150,18516,18172925,0,0,0,150,18516.0,18172925
107,花蓮縣,0,0.0,0,76,5011,4395755,0,0,0,76,5011.0,4395755
107,台東縣,0,0.0,0,292,15556,15532750,2,2010,8017473,294,17566.0,23550223
107,澎湖縣,0,0.0,0,531,12928,15234779,0,0,0,531,12928.0,15234779
107,金門縣,0,0.0,0,89,6985,8488957,0,0,0,89,6985.0,8488957
107,連江縣        (馬祖),0,0.0,0,1,12,0,0,0,0,1,12.0,0
106,基隆市,0,0.0,0,4,65,10954,0,0,0,4,65.0,10954
106,台北市,0,0.0,0,63,6029,3390662,0,0,0,63,6029.0,3390662
106,新北市,0,0.0,0,204,13586,12473758,1,70000,225350015,205,83586.0,237823773
106,桃園市,3,48318.0,137797056,410,53752,51038063,2,130000,305724703,415,232070.0,494559822
106,新竹市,0,0.0,0,60,3182,3740691,0,0,0,60,3182.0,3740691
106,新竹縣,2,11500.0,30772224,228,13953,14448255,0,0,0,230,25453.0,45220479
